CandidateID,FullName,Email,Phone,Company,JobTitle,Location,ExperienceYears,Skills,Education,LinkedIn,GitHub
C001,John Gupta,john.gupta1@gmail.com,9706949483,Tech Mahindra,Data Analyst,"Kolkata, India",7,Python;SQL;Git,MCA,https://linkedin.com/in/johngupta1,https://github.com/johngupta1
C002,Tarun Reddy,tarun.reddy2@gmail.com,9788272193,TCS,Backend Developer,"Bhubaneswar, India",1,Java;Spring Boot;MySQL,B.Sc Computer Science,https://linkedin.com/in/tarunreddy2,https://github.com/tarunreddy2
C003,Amit Reddy,amit.reddy3@gmail.com,9851941837,HCL,Software Engineer,"Bhubaneswar, India",3,React;Node.js;MongoDB,MCA,https://linkedin.com/in/amitreddy3,https://github.com/amitreddy3
C004,Vivek Sharma,vivek.sharma4@gmail.com,9033855969,Cognizant,Python Developer,"Mumbai, India",4,Python;SQL;Git,B.Tech IT,https://linkedin.com/in/viveksharma4,https://github.com/viveksharma4
C005,Meera Padhy,meera.padhy5@gmail.com,9097088779,Accenture,Software Engineer,"Chennai, India",1,Python;SQL;Git,B.Tech IT,https://linkedin.com/in/meerapadhy5,https://github.com/meerapadhy5
C006,Swati Gupta,swati.gupta6@gmail.com,9521947417,Accenture,Software Engineer,"Pune, India",1,C#;ASP.NET Core;SQL Server,MCA,https://linkedin.com/in/swatigupta6,https://github.com/swatigupta6
C007,Nitin Padhy,nitin.padhy7@gmail.com,9847361260,Wipro,Data Analyst,"Bangalore, India",6,Python;SQL;Git,B.Tech IT,https://linkedin.com/in/nitinpadhy7,https://github.com/nitinpadhy7
C008,Riya Gupta,riya.gupta8@gmail.com,9296433307,Wipro,Java Developer,"Kolkata, India",5,Python;SQL;Git,B.Tech CSE,https://linkedin.com/in/riyagupta8,https://github.com/riyagupta8
C009,Akash Reddy,akash.reddy9@gmail.com,9868524548,Cognizant,Python Developer,"Bhubaneswar, India",7,Python;Pandas;Power BI;SQL,B.Tech CSE,https://linkedin.com/in/akashreddy9,https://github.com/akashreddy9
C010,Ruturaj Padhy,ruturajpadhy2005@gmail.com,77359-11353,Capgemini,Data Analyst,"Pune, India",6,C#;ASP.NET Core;SQL Server,B.Sc Computer Science,https://linkedin.com/in/ruturajpadhy10,https://github.com/ruturajpadhy10
